"year","month","affected_local_code","policy_type","policy_category"
2020,1,"42087",0,0
2020,1,"42099",0,0
2020,1,"42095",0,0
2020,1,"42025",0,0
2020,1,"42079",0,0
2020,1,"36065",0,0
2020,1,"36123",0,0
2020,1,"36069",0,0
2020,1,"18151",0,0
2020,1,"42069",0,0
2020,1,"36025",0,0
2020,1,"36037",0,0
2020,1,"36053",0,0
2020,1,"36077",0,0
2020,1,"36057",0,0
2020,1,"36015",0,0
2020,1,"42055",0,0
2020,1,"36107",0,0
2020,1,"36101",0,0
2020,1,"42029",0,0
2020,1,"42043",0,0
2020,1,"42017",0,0
2020,1,"42115",0,0
2020,1,"36121",0,0
2020,1,"42045",0,0
2020,1,"42001",0,0
2020,1,"18105",0,0
2020,1,"42067",0,0
2020,1,"42007",0,0
2020,1,"18081",0,0
2020,1,"42127",0,0
2020,1,"42103",0,0
2020,1,"18039",0,0
2020,1,"42107",0,0
2020,1,"19153",0,0
2020,1,"36067",0,0
2020,1,"42077",0,0
2020,1,"19049",0,0
2020,1,"42131",0,0
2020,1,"36051",0,0
2020,1,"36075",0,0
2020,1,"36109",0,0
2020,1,"36099",0,0
2020,1,"19169",0,0
2020,1,"36043",0,0
2020,1,"36055",0,0
2020,1,"19005",0,0
2020,1,"19051",0,0
2020,1,"19115",0,0
2020,1,"19033",0,0
2020,1,"19043",0,0
2020,1,"19109",0,0
2020,1,"19193",0,0
2020,1,"19191",0,0
2020,1,"19167",0,0
2020,1,"19019",0,0
2020,1,"19095",0,0
2020,1,"19105",0,0
2020,1,"19035",0,0
2020,1,"19075",0,0
2020,1,"19041",0,0
2020,1,"19045",0,0
2020,1,"19157",0,0
2020,1,"19101",0,0
2020,1,"19077",0,0
2020,1,"19061",0,0
2020,1,"19029",0,0
2020,1,"19069",0,0
2020,1,"19121",0,0
2020,1,"19067",0,0
2020,1,"19025",0,0
2020,1,"19183",0,0
2020,1,"19111",0,0
2020,1,"19175",0,0
2020,1,"19123",0,0
2020,1,"19011",0,0
2020,1,"19055",0,0
2020,1,"19017",0,0
2020,1,"19137",0,0
2020,1,"19149",0,0
2020,1,"19059",0,0
2020,1,"19065",0,0
2020,1,"19079",0,0
2020,1,"19001",0,0
2020,1,"19171",0,0
2020,1,"19125",0,0
2020,1,"19145",0,0
2020,1,"19185",0,0
2020,1,"19139",0,0
2020,1,"19089",0,0
2020,1,"19181",0,0
2020,1,"19195",0,0
2020,1,"19131",0,0
2020,1,"19163",0,0
2020,1,"19057",0,0
2020,1,"19143",0,0
2020,1,"19165",0,0
2020,1,"19021",0,0
2020,1,"19023",0,0
2020,1,"19015",0,0
2020,1,"19197",0,0
2020,1,"19071",0,0
2020,1,"19103",0,0
2020,1,"19031",0,0
2020,1,"19151",0,0
2020,1,"19107",0,0
2020,1,"19053",0,0
2020,1,"19085",0,0
2020,1,"19027",0,0
2020,1,"19047",0,0
2020,1,"19063",0,0
2020,1,"19073",0,0
2020,1,"19159",0,0
2020,1,"19187",0,0
2020,1,"19127",0,0
2020,1,"19129",0,0
2020,1,"19083",0,0
2020,1,"19173",0,0
2020,1,"19099",0,0
2020,1,"19155",0,0
2020,1,"19097",0,0
