"GEOID","population_25_years_and_over","population_25_years_and_overless_than_9th_grade","population_25_years_and_over9th_to_12th_grade_no_diploma","population_25_years_and_overhigh_school_graduate_includes_equivalency","population_25_years_and_oversome_college_no_degree","population_25_years_and_overassociates_degree","population_25_years_and_overbachelors_degree","population_25_years_and_overgraduate_or_professional_degree","population_25_years_and_overhigh_school_graduate_or_higher","population_25_years_and_overbachelors_degree_or_higher","SHAPE_Length","SHAPE_Area"
"01001",39614,803,3323,12977,7774,3593,6507,4637,35488,11144,2.05272376240207,0.150257784174001
"01003",161977,3400,11155,44342,35174,15344,33379,19183,147422,52562,4.27752858289337,0.409822387376142
"01005",17995,1336,3042,6600,3689,1321,1212,795,13617,2007,2.56604097803952,0.223257181995248
"01007",16057,988,2137,7052,2886,1081,1276,637,12932,1913,1.88686336815913,0.156525335928997
"01009",40668,2761,3889,14284,8732,4941,3783,2278,34018,6061,2.39278119698724,0.164412705173003
"01011",6877,439,1101,2841,1319,373,560,244,5337,804,2.04550520145972,0.154695900033504
"01013",13384,509,1423,6050,2504,1019,1087,792,11452,1879,1.81832732150028,0.191749035501002
"01015",80263,3448,8419,27783,18585,6354,9159,6515,68396,15674,2.19604291137605,0.154327235387999
"01017",24828,1496,2779,8996,5735,2432,2383,1007,20553,3390,1.71419332556576,0.15058830347848
"01019",18436,1351,2369,6809,3590,1953,1148,1216,14716,2364,1.88609198846482,0.151942390476083
"01021",30534,1859,3710,13113,5426,2293,2413,1720,24965,4133,2.08444398397303,0.174800320227997
"01023",9281,615,1187,3477,1966,949,750,337,7479,1087,2.6844810611742,0.227715445752369
"01025",16269,883,2009,6740,3091,1287,1379,880,13377,2259,3.77705278042915,0.308578214402497
"01027",9969,599,1095,3813,1946,1182,885,449,8275,1334,2.02264495352241,0.151859694011498
"01029",10559,635,1154,3958,2331,751,1288,442,8770,1730,2.17331332294635,0.141307380795561
"01031",36163,1701,3233,10108,8154,4765,5130,3072,31229,8202,1.67857354324529,0.167176656707997
"01033",40390,1519,3814,15244,9193,3407,4484,2729,35057,7213,2.17544771604867,0.158868641612633
"01035",8665,276,801,4200,1536,773,585,494,7588,1079,2.5656139255453,0.209563021688
"01037",8165,262,955,3410,1851,772,639,276,6948,915,1.74153039716632,0.166415724009998
"01039",26421,1206,2709,10037,5432,2861,2509,1667,22506,4176,2.34794117316753,0.255974945721869
"01041",9281,638,1104,3882,1364,769,1070,454,7539,1524,2.27105579259996,0.1505721432565
"01043",60563,2765,6795,19624,14683,6717,6516,3463,51003,9979,2.44098205388496,0.191092068069504
"01045",33606,1493,3600,10376,8448,3411,4218,2060,28513,6278,1.63835682149237,0.138214878241573
"01047",26319,917,2792,10065,5391,2913,2588,1653,22610,4241,3.01744362246916,0.2465401007985
"01049",48286,5226,5296,16172,9659,4964,4233,2736,37764,6969,2.20319822910032,0.197864892232051
"01051",60372,2178,5281,19351,12663,6069,9977,4853,52913,14830,2.2543365237995,0.163460995856004
"01053",25716,1192,3505,11249,4496,2047,2180,1047,21019,3227,2.48678033640025,0.233341798150912
"01055",72558,2828,7186,24491,17762,7224,7916,5151,62544,13067,2.05963507659953,0.138750907781999
"01057",11498,666,1285,4714,2507,965,1004,357,9547,1361,1.83752674226277,0.158561054006503
"01059",21369,1462,2919,9016,3663,1259,2135,915,16988,3050,1.78005193763243,0.164303438329292
"01061",18814,1156,2138,6879,3907,2196,1695,843,15520,2538,1.83336632159684,0.141743049070702
"01063",5534,129,732,2173,1268,529,470,233,4673,703,3.48588347859645,0.164634597420002
"01065",10090,481,1409,3943,1766,898,1095,498,8200,1593,2.47215674143344,0.163554059865995
"01067",12202,841,1439,3931,2244,1114,1755,878,9922,2633,1.61798044653892,0.139768181674032
"01069",73559,2564,6442,23633,17416,7154,10393,5957,64553,16350,2.08676718603965,0.142481495450557
"01071",37709,2148,4479,14431,7124,3455,3744,2328,31082,6072,2.65394338728388,0.287464951013095
"01073",458909,11195,30284,121180,99274,37935,97085,61956,417430,159041,2.89674747270654,0.282678386829496
"01075",9948,613,1132,4151,2129,933,618,372,8203,990,1.64044075585125,0.152723300253899
"01077",64344,1861,5414,22572,13028,5073,10288,6108,57069,16396,2.41870866308418,0.183856187365778
"01079",23333,1277,2635,9642,4418,1793,2275,1293,19421,3568,1.90664573719887,0.182319677131493
"01081",105453,3014,6081,23254,22192,10185,21932,18795,96358,40727,2.02198282301337,0.153222044090333
"01083",71019,3251,6322,19395,15658,6234,13431,6728,61446,20159,1.69244568344909,0.154937338401376
"01085",7171,333,761,3094,1210,690,578,505,6077,1083,2.30663031541937,0.179512789006501
"01087",12539,432,1635,3765,3109,935,1424,1239,10472,2663,2.02202014889147,0.152206105569995
"01089",262659,6051,15033,50364,54540,20348,70676,45647,241575,116323,2.38833506518161,0.207260291539725
"01091",13044,339,1411,4653,2764,1307,1438,1132,11294,2570,2.63518920298358,0.243531180367001
"01093",21005,1211,2710,7472,4601,2362,1553,1096,17084,2649,1.89923572566337,0.188205126548046
"01095",64758,4462,6213,20178,13479,6574,9468,4384,54083,13852,2.20836076075294,0.158176288829001
"01097",280280,8053,25974,95988,59057,24155,43183,23870,246253,67053,3.68085786877512,0.309657660551465
"01099",13867,517,1923,6205,2285,1150,1126,661,11427,1787,2.805840198073,0.254586525199
"01101",152516,5789,12926,39384,31789,11752,29766,21110,133801,50876,2.52627143954897,0.198173807196
"01103",84768,5145,7838,26406,18447,7641,13059,6232,71785,19291,1.80513886859861,0.152209774022499
"01105",5560,312,876,2229,887,205,685,366,4372,1051,2.13794193723531,0.180201798855503
"01107",13940,851,1481,5903,2839,1012,1235,619,11608,1854,2.15645126061849,0.223007430029126
"01109",19399,640,1825,7035,3677,838,3161,2223,16934,5384,2.14028274998639,0.166008688591503
"01111",15409,1005,2034,5304,3012,1554,1411,1089,12370,2500,1.58363167008523,0.146393897277074
"01113",39883,1992,3889,11774,10562,4780,4335,2551,34002,6886,2.09224117869158,0.160480227665654
"01117",151072,3000,6632,29933,31323,12516,44496,23172,141440,67668,2.50628657985466,0.202880277296002
"01115",63434,3054,5819,22302,14659,5870,7829,3901,54561,11730,2.41220910911945,0.164593165474999
"01119",7716,228,754,2588,2085,559,832,670,6734,1502,3.06138444555601,0.227136042611642
"01121",57363,2639,7174,19830,13547,5035,5246,3892,47550,9138,2.72355821100712,0.190805453577499
"01123",29460,1464,3968,9300,6713,2693,3242,2080,24028,5322,2.15446143818016,0.1912397926075
"01125",140600,4064,10499,41868,28575,12508,25405,17681,126037,43086,2.8926443415847,0.338841734102005
"01127",45362,2562,5471,15674,10427,4837,3872,2519,37329,6391,2.3811515772666,0.203015138449999
"01129",10831,452,1046,4606,2311,947,643,826,9333,1469,2.62832623065593,0.267440033151637
"01131",7154,392,1093,2806,1611,467,522,263,5669,785,2.65040484245363,0.224243860512
"01133",17016,1004,2516,6590,3340,1276,1269,1021,13496,2290,1.67985533459205,0.160031763545501
"02013",2598,158,239,1080,568,139,275,139,2201,414,52.5312845488122,2.62376780662589
"02016",3838,185,159,1664,962,223,554,91,3494,645,55.669207828762,1.56506491348419
"02020",193312,4236,7063,45842,48371,16715,44110,26975,182013,71085,4.74867969487413,0.748446820891179
"02050",10025,689,1119,4674,1811,456,729,547,8217,1276,45.6776033596975,18.185811366681
"02060",643,19,15,194,217,56,108,34,609,142,2.39252257684435,0.205684341417412
"02063",4908,44,181,1145,1489,540,933,576,4683,1509,64.5987050177879,4.25867628025461
"02066",1845,38,71,650,446,91,338,211,1736,549,20.4593016391854,11.1188146328436
"02068",1656,7,20,504,346,126,409,244,1629,653,15.2401885073044,5.94630229323851
"02070",2883,155,233,1151,613,167,293,271,2495,564,20.0170111177522,7.86136451269161
"02090",61343,1143,2250,15698,16505,5771,11586,8390,57950,19976,13.2746560507643,3.63515424261301
"02100",1431,7,26,564,452,15,168,199,1398,367,11.7560151448592,0.977115515932635
"02105",1902,16,103,694,474,190,333,92,1783,425,38.1383398288403,2.72216951623376
"02110",22827,266,783,4791,5823,2019,5924,3221,21778,9145,10.1318703288228,1.12114820304525
"02122",41278,682,1815,12743,11199,3543,7251,4045,38781,11296,47.8615384278958,6.89946863754132
"02130",9801,131,460,2829,3076,719,1751,835,9210,2586,21.1238640288382,1.90598004248194
"02150",8907,455,392,2508,2115,838,1673,926,8060,2599,47.5010220795635,2.77958772199562
"02158",4075,189,644,2266,764,93,93,26,3242,119,20.9220967814914,8.06260739802986
"02164",634,29,39,258,125,42,69,72,566,141,38.5518218717489,10.600215285493
"02170",69796,1288,3096,23039,18611,7210,10889,5663,65412,16552,17.3669587941016,11.1976509746017
"02180",5622,204,491,2451,1278,165,427,606,4927,1033,43.8381952118662,11.6397878358614
"02185",7007,222,643,2904,1652,493,760,333,6142,1093,71.1801400957723,53.1131131238008
"02188",4290,203,470,2020,798,180,305,314,3617,619,44.2357864843879,19.6243826423391
"02195",2538,99,117,788,587,226,562,159,2322,721,12.726502000852,1.17778555261307
"02198",4172,56,263,1588,1102,362,568,233,3853,801,45.4331987259944,2.18900111500261
"02220",6088,158,158,1546,1578,624,1343,681,5772,2024,20.2068043837079,1.23468549181115
"02230",1062,68,33,356,284,55,199,67,961,266,2.26608447124171,0.179342033123337
"02240",4471,103,229,1704,1127,443,540,325,4139,865,21.9753656897978,11.8763441656331
"02275",1563,24,214,578,392,118,175,62,1325,237,16.5288189121552,1.007858476656
"02282",388,4,17,173,133,21,33,7,367,40,19.0639844631521,3.29594411726661
"02290",3479,167,281,1471,943,168,293,156,3031,449,63.6232284666296,74.2568919925616
"04001",42362,3412,4137,13150,12661,3568,3265,2169,34813,5434,9.28924863999137,2.88337291378615
"04003",87435,4091,5806,21308,23931,9730,13908,8661,77538,22569,5.02015909591142,1.5351877522607
"04005",86198,2859,4927,18341,19632,7046,19762,13631,78412,33393,12.3414771389465,4.82178404787192
"04007",39292,1100,4031,11192,11861,3726,4613,2769,34161,7382,8.15054709307096,1.20914271793499
"04009",24046,1057,2923,7123,6746,2668,2399,1130,20066,3529,5.42121454883853,1.15872891993499
"04011",5762,226,484,1877,1807,446,750,172,5052,922,3.42762965052363,0.463092458554208
"04012",13182,769,1341,4476,3826,1212,1022,536,11072,1558,5.7501590278353,1.13657789624266
"04013",2928408,148240,178497,644940,689293,261342,631052,375044,2601671,1006096,8.07764772004256,2.31437179159702
"04015",162829,5929,14508,55859,48067,14649,14549,9268,142392,23817,10.5732906635543,3.47234334778966
"04017",69674,3736,7030,20551,20513,6233,6881,4730,58908,11611,8.74475724197285,2.55966156517566
"04019",699288,28678,45790,149641,172153,62649,137833,102544,624820,240377,7.43605298269574,2.27404149983225
"04021",293016,12770,23641,89200,76521,29667,40942,20275,256605,61217,5.92103183530592,1.34167726517099
"04023",30361,3086,3671,7913,6266,2431,4257,2737,23604,6994,2.54895153101504,0.304358321068515
"04025",180855,3939,11341,45486,52902,16956,29164,21067,165575,50231,7.36273312783317,2.06866898679951
"04027",129299,16595,15846,34441,31450,10681,12942,7344,96858,20286,5.53643944920616,1.37603812732514
"05001",11988,668,928,5020,1962,1423,1340,647,10392,1987,3.32878751923832,0.2633871329275
"05003",13411,768,1220,6823,2193,795,1223,389,11423,1612,2.37834809439828,0.235522747491444
"05005",31668,926,2667,10992,7771,3420,4008,1884,28075,5892,2.13585801601888,0.152462700093371
"05007",182880,9003,9808,53695,35039,12124,41442,21769,164069,63211,2.61894554120617,0.229885817671011
"05009",26166,999,1850,8849,7054,2766,3125,1523,23317,4648,1.69726877494972,0.156453018193764
"05011",7251,409,742,3111,1575,506,644,264,6100,908,2.39723035822197,0.164000066196999
"05013",3438,87,456,1490,681,303,256,165,2895,421,2.38864250485548,0.159023799289
"05015",19931,1594,1354,7009,4208,1377,2892,1497,16983,4389,2.1218004170533,0.165970796725187
"05017",7114,511,1026,2725,1443,359,737,313,5577,1050,2.74913295912285,0.173275444304626
"05019",12605,367,826,4037,3196,663,2338,1178,11412,3516,2.98642490318637,0.223332663249004
"05021",10347,641,984,4430,2029,815,849,599,8722,1448,2.28390341201212,0.166971325226427
"05023",18514,840,1336,7850,3704,1640,2005,1139,16338,3144,1.60766036197021,0.152425645232501
"05025",5531,67,447,2584,1216,293,607,317,5017,924,1.8469557478306,0.151174182737503
"05027",14051,543,1281,5590,2866,939,1881,951,12227,2832,1.85824287732468,0.192116976739327
"05029",14381,640,1066,5896,2790,1303,2009,677,12675,2686,2.09679931873525,0.145314937511
"05031",70517,3264,4028,23151,14021,5641,12635,7777,63225,20412,2.10767151976442,0.184086456740748
"05033",40859,1802,4359,13947,9198,3761,5541,2251,34698,7792,2.19828146390591,0.1560519240267
"05035",30865,1583,3201,10940,7253,2496,3690,1702,26081,5392,2.49023657804348,0.16517523727354
"05037",11747,789,1349,4907,2222,829,1004,647,9609,1651,1.6899958801427,0.159662657347497
"05039",4660,174,397,2108,1094,351,395,141,4089,536,2.4364016645337,0.168732206196997
"05041",7728,721,756,3415,1487,292,746,311,6251,1057,3.92186355133433,0.204907116758018
"05043",11170,462,994,4090,2289,683,1703,949,9714,2652,1.94371520347496,0.210267931039497
"05045",76466,1863,3405,23020,17072,5951,15682,9473,71198,25155,2.16783938859911,0.1701259841315
"05047",11803,662,934,4911,2863,1182,914,337,10207,1251,2.14670362637211,0.159594309558499
"05049",8678,367,857,3229,2568,668,584,405,7454,989,1.89309887664602,0.161383355596929
"05051",72278,1885,5070,23014,18195,6936,11173,6005,65323,17178,2.00730591409957,0.186853800657993
"05053",12554,272,783,5351,2969,924,1648,607,11499,2255,1.86794496561951,0.160523374442494
"05055",30735,944,2541,13628,6570,2048,3283,1721,27250,5004,1.98453079703696,0.150067146291371
"05057",13491,1019,1162,5182,2811,1158,1342,817,11310,2159,2.45095770079593,0.186727585259004
"05059",23602,629,2070,9240,5832,1951,2624,1256,20903,3880,2.23505526172,0.157860598477503
"05061",8604,334,694,3596,1957,796,822,405,7576,1227,2.35349094425591,0.1507183454575
"05063",25394,1119,2491,9405,6079,2122,2906,1272,21784,4178,2.3288090875991,0.199109813994003
"05065",10270,655,1183,3414,2471,799,1229,519,8432,1748,1.90117509035167,0.151344890087498
"05067",11987,604,1376,5169,2435,884,905,614,10007,1519,2.40695741492412,0.165233510969379
"05069",46411,1571,3812,19219,10365,2414,6200,2830,41028,9030,2.83771187802225,0.232302168584
"05071",16953,1552,1825,6929,3143,788,1751,965,13576,2716,2.07274476420481,0.176195350596998
"05073",4566,368,496,2095,913,204,381,109,3702,490,2.37136790414014,0.136834602900606
"05075",10968,546,1122,4271,2644,754,1148,483,9300,1631,2.09297156183594,0.1534099538415
"05077",6248,366,775,2847,1296,354,519,91,5107,610,2.56963861640304,0.158711158397301
"05079",9871,630,1225,4753,1949,452,609,253,8016,862,2.0010180208692,0.143909546204505
"05081",8378,181,666,3656,1936,693,857,389,7531,1246,3.11855605824548,0.141894946691858
"05083",15100,579,1274,6704,3432,1203,1260,648,13247,1908,2.64175007481343,0.187134675693494
"05085",49256,1689,3266,18597,10357,5332,6796,3219,44301,10015,2.34056313679333,0.204834352331996
"05087",11492,663,1071,5735,1960,507,994,562,9758,1556,2.1299297238372,0.216688651912499
"05089",12801,553,1217,4682,3311,1105,1296,637,11031,1933,2.15272681454403,0.166298042259705
"05091",29215,1243,2585,10586,7815,2036,3010,1940,25387,4950,2.70791326123407,0.160089604368725
"05093",26769,1722,2932,11058,5282,1962,2517,1296,22115,3813,3.03990090817961,0.239962616255812
"05095",4861,379,651,2007,901,268,463,192,3831,655,2.402600196276,0.158277463896002
"05097",6421,318,712,2111,1729,566,701,284,5391,985,1.87305133488094,0.203557328073
"05099",5724,222,295,2937,1166,467,479,158,5207,637,1.94300151548892,0.156246425854496
"05101",5345,247,543,2026,1280,372,598,279,4555,877,2.01030158446503,0.212940863289508
"05103",16039,489,1506,6501,4269,1143,1350,781,14044,2131,2.74266606649063,0.186125828496505
"05105",7090,245,372,3076,1727,429,893,348,6473,1241,2.40529475592324,0.143346022851502
"05107",10976,779,1231,3489,2770,1132,1070,505,8966,1575,2.823791085747,0.184829666481054
"05109",7146,479,386,2729,1674,486,897,495,6281,1392,2.23296580450089,0.155595433276998
"05111",15775,1433,1487,7067,3323,649,1318,498,12855,1816,2.04100578724851,0.196704754490005
"05113",13607,505,1064,5178,3646,1102,1322,790,12038,2112,2.15427214855906,0.218996123206657
"05115",40886,2344,4098,13836,8388,2718,6480,3022,34444,9502,2.10821489529283,0.213641285489998
"05117",6025,255,538,2552,1306,453,614,307,5232,921,2.61954640095054,0.172416223932004
"05119",270836,8215,14868,69538,58689,21094,58292,40140,247753,98432,2.82719107175176,0.205904737310008
"05121",12635,826,995,4839,2795,1150,1311,719,10814,2030,2.21332688793008,0.170546925735477
"05125",84850,2294,4658,26015,20179,8019,16275,7410,77898,23685,2.62651671334867,0.186030939136498
"05127",6921,536,851,2827,1436,514,562,195,5534,757,2.38747049793813,0.229387008633247
"05129",5769,487,658,2282,1041,417,635,249,4624,884,1.86083381636103,0.172858932077496
"05131",85679,5282,7932,25325,20426,6155,13072,7487,72465,20559,2.10286899435539,0.139539767353085
"05133",10057,1328,1334,3474,1917,835,775,394,7395,1169,2.44741755689258,0.146882086587173
"05135",12494,645,1575,4873,3196,814,973,418,10274,1391,2.16156315860689,0.157312848726774
"05123",16685,955,1995,6559,3856,1417,1085,818,13735,1903,2.0723046266718,0.164348347126499
"05137",9069,413,981,3128,2181,1062,974,330,7675,1304,2.09257869890064,0.1575527347225
"05139",26804,1032,2632,10177,5694,2338,3306,1625,23140,4931,3.0037304528903,0.264302117989943
"05141",11740,584,1170,4857,2342,877,1160,750,9986,1910,2.0499018831617,0.186457212711498
"05143",148635,10289,9781,40952,28566,8887,29512,20648,128565,50160,2.28829522415545,0.246464490391704
"05145",50133,2241,4885,20258,8472,4103,6116,4058,43007,10174,3.32939987087495,0.267306486759612
"05147",4471,246,539,1929,669,368,402,318,3686,720,2.59879603123535,0.152285972778502
"05149",13905,1249,1886,5240,2739,838,1372,581,10770,1953,2.8387838817079,0.242495383113499
"06001",1193863,68311,62961,198825,194409,76687,337847,254823,1062591,592670,2.75676915029011,0.198462609458208
"06003",969,34,27,249,235,43,200,181,908,381,2.15712128406384,0.199005750264005
"06005",31725,764,1993,9724,8752,4300,4317,1875,28968,6192,2.87493706367099,0.161965803431994
"06007",142167,4840,8894,31704,39391,15029,27819,14490,128433,42309,4.17546061944211,0.455938122447996
"06009",34951,799,2415,10815,10250,3713,4876,2083,31737,6959,2.93105787147134,0.276243186277493
"06011",13942,2348,1371,4246,2594,1340,1558,485,10223,2043,3.17151912466479,0.312217210522998
"06013",805020,42474,40090,140633,160404,66758,218293,136368,722456,354661,2.71043049163387,0.20187090134458
"06015",19703,999,2826,6101,4942,1659,2070,1106,15878,3176,2.94621140236635,0.284584687205044
"06017",139444,2557,4864,28993,35646,16021,34494,16869,132023,51363,3.75275834798292,0.479632322832659
"06019",619376,76606,60229,140532,145859,55967,93209,46974,482541,140183,8.91453002178456,1.57116975291051
"06021",18294,2613,1690,5538,4221,1507,2226,499,13991,2725,3.2873158109115,0.360058462750499
"06023",93815,2529,5922,21654,24929,9518,19376,9887,85364,29263,4.97274373277289,0.996458004682815
"06025",110267,16255,16340,28187,25791,6936,12239,4519,77672,16758,5.03088344924037,1.12036276751584
"06027",13746,433,655,4188,3471,1250,2217,1532,12658,3749,8.83374311311885,2.66523022406187
"06029",552243,71745,61081,152266,126244,43671,63839,33397,419417,97236,7.27969662483015,2.09671366879899
"06031",94259,13052,11804,24622,22753,8530,9159,4339,69403,13498,2.87336189428106,0.360718193711497
"06033",48848,2515,4033,14601,13272,5870,5747,2810,42300,8557,3.65457886850753,0.358522273631503
"06035",24323,1317,3536,7891,6566,2150,2098,765,19470,2863,5.97268525297054,1.30222957672754
"06037",6922061,813149,568298,1411475,1285626,486941,1530075,826497,5540614,2356572,6.6577948495007,1.03984722294684
"06039",98573,16258,11531,22929,24341,7370,11366,4778,70784,16144,4.82466134383999,0.566042630318
"06041",192700,7844,4828,19589,31731,12801,65270,50637,180028,115907,2.48321945665608,0.144594816610685
"06043",13513,460,773,3028,3939,1412,2624,1277,12280,3901,3.41161667834808,0.386530155528499
"06045",65151,4196,4508,17147,17770,5568,9612,6350,56447,15962,5.60955338982974,0.952376019006195
"06047",165461,28922,20132,43880,36243,13025,15979,7280,116407,23259,3.53936655443071,0.520115606844491
"06049",6564,464,491,2136,1607,573,864,429,5609,1293,4.53914624448648,1.17554802744456
"06051",9497,593,621,2124,2375,980,1833,971,8283,2804,5.6513948373702,0.831215458205641
"06053",280524,50976,24795,56912,50847,22683,44514,29797,204753,74311,6.04246960192522,0.86004365142774
"06055",98545,9017,5524,17698,20920,8922,24141,12323,84004,36464,2.75908870184226,0.210922715261002
"06057",78580,1309,2518,14963,21288,8111,19385,11006,74753,30391,3.51700285936364,0.263294414278884
"06059",2197190,159612,134568,378888,428349,170409,585008,340356,1903010,925364,2.07136286872895,0.201082354417989
"06061",281849,5588,8996,49539,69403,31072,76411,40840,267265,117251,4.31906868313435,0.404901141606127
"06063",15047,205,615,4108,5008,1647,2233,1231,14227,3464,5.25029566634099,0.713899002361
"06065",1572798,142125,125400,423504,378894,132743,238066,132066,1305273,370132,7.94365603846877,1.84019783195902
"06067",1067929,66453,61002,235075,259949,103745,221577,120128,940474,341705,3.24221886656303,0.265780033134002
"06069",41203,4329,2572,11037,10594,4211,6305,2155,34302,8460,3.6253164906807,0.362726754042505
"06071",1377666,113848,146467,370115,327584,117761,197308,104583,1117351,301891,10.4430910033238,5.13221118043237
"06073",2251321,140183,122880,409660,483335,188808,552537,353918,1988258,906455,4.64369820739172,1.06434767030861
"06075",688969,46904,30396,78359,87355,35903,243795,166257,611669,410052,0.644615119938623,0.0125710736739478
"06077",488393,53581,42635,140468,110472,46154,64170,30913,392177,95083,3.22763015643651,0.378682532957507
"06079",190323,6410,8944,37215,48533,19301,43001,26919,174969,69920,5.89215022437366,0.85364787178542
"06081",551707,28749,21903,82159,90968,38527,162209,127192,501055,289401,2.10647871262286,0.120736644798594
"06083",277880,32126,18148,47957,58882,23131,58791,38845,227606,97636,6.33058850547556,0.700450795299572
"06085",1349372,84521,61383,184860,193313,91345,375482,358468,1203468,733950,3.45422425338198,0.341945349905223
"06087",179985,14098,7004,28627,39428,15430,43339,32059,158883,75398,2.2234454554382,0.117241538670341
"06089",128609,3096,8396,33218,39786,15072,19506,9535,117117,29041,5.64068621028592,1.06276037354302
"06091",2307,43,87,681,755,226,259,256,2177,515,3.01783335529646,0.261252394189561
"06093",32223,1224,2026,8724,9387,3929,4595,2338,28973,6933,7.25152416541195,1.77548565079717
"06095",312459,17302,17535,74274,83824,32543,58967,28014,277622,86981,2.73454615998781,0.23732651249173
"06097",356445,20831,17788,65278,86331,33872,82579,49766,317826,132345,3.74935422365712,0.425280212206898
"06099",348982,37681,32279,104577,85846,26010,42993,19596,279022,62589,3.79711375805744,0.399827557298003
"06101",64872,6899,6303,15907,16083,6709,8650,4321,51670,12971,2.74986823862067,0.163944723157006
"06103",44894,2891,3498,13014,13056,4808,5587,2040,38505,7627,5.08625424989571,0.811000499681002
"06105",12493,215,549,4800,3756,849,1443,881,11729,2324,6.18418884799026,0.884554505982
"06107",278465,47440,28809,73748,61604,24532,28347,13985,202216,42332,5.34656690407505,1.25610678189651
"06109",42285,710,2634,10658,13229,4658,6817,3579,38941,10396,5.00754085260352,0.604462854748499
"06111",574785,49030,33595,113615,124158,58776,124047,71564,492160,195611,3.50945884423023,0.471564716773928
"06113",127688,8648,7184,22654,25117,9086,28159,26840,111856,54999,3.34120559301969,0.274401184980499
"06115",50807,4243,5325,11785,15163,5273,5955,3063,41239,9018,2.80341885263636,0.174093414377
"08001",334333,22623,27981,94610,71102,29657,60392,27968,283729,88360,4.30622901608046,0.322753327060504
"08003",9814,708,573,2790,2350,877,1508,1008,8533,2516,1.83078755410151,0.191028221255501
"08005",446320,16179,19217,87772,86946,37633,124297,74276,410924,198573,3.66910141700734,0.218920249857016
"08007",10195,137,471,2228,2721,567,2650,1421,9587,4071,2.77702552593876,0.356115980485002
"08009",2545,125,243,735,547,290,454,151,2177,605,3.38126867518532,0.673411155221784
"08011",4537,142,444,2203,786,317,381,264,3951,645,2.57053121195945,0.409224197421003
"08013",219430,4323,5579,24354,32821,14414,75764,62175,209528,137939,2.36093267715784,0.2025521030635
"08014",50886,580,1158,6603,8506,4641,18252,11146,49148,29398,1.15093774282716,0.00916585576700281
"08015",15292,244,611,3939,3344,1129,3618,2407,14437,6025,3.09165941273552,0.272445226912498
"08017",1148,23,57,344,335,134,181,74,1068,255,3.10992432302805,0.478855899961281
"08019",7579,90,111,1517,1350,451,2182,1878,7378,4060,1.70576847922748,0.107714754685003
"08021",4981,228,297,1633,1176,428,802,417,4456,1219,2.77718246364933,0.339403687978957
"08023",2603,177,165,762,677,188,398,236,2261,634,2.60696608922599,0.323832788215267
"08025",4210,99,363,2166,783,410,262,127,3748,389,1.95339489257329,0.213317964441494
"08027",3678,26,37,661,1202,330,878,544,3615,1422,2.34854559757074,0.196812551247494
"08029",22937,728,1648,8368,5312,1626,3449,1806,20561,5255,2.73748514590653,0.308733647519999
"08031",514105,25311,25933,82175,82068,28584,164516,105518,462861,270034,2.66958079491314,0.0421163771374988
"08033",1961,0,70,831,413,128,319,200,1891,519,3.15141778136833,0.282660430870148
"08035",235928,2084,2928,28669,44413,18060,90110,49664,230916,139774,2.22335151181592,0.228046192103999
"08037",39773,1892,1407,6210,6065,3947,14080,6172,36474,20252,3.14110482685435,0.459838614036994
"08041",471764,9677,16508,92459,115012,51732,113505,72871,445579,186376,3.25811479450725,0.572143440996
"08039",18546,283,394,4341,4683,2299,4661,1885,17869,6546,3.29517003131116,0.500407936144994
"08043",37938,1002,2914,15356,8429,3178,4620,2439,34022,7059,3.07858701535977,0.410290687574504
"08045",40937,2284,1974,10536,8811,3851,8852,4629,36679,13481,5.50677650878643,0.802609836972648
"08047",4676,23,270,664,920,516,1143,1140,4383,2283,0.963060971977996,0.0410008273129999
"08049",11869,263,396,3591,2357,787,2864,1611,11210,4475,4.07635006051966,0.511407839289002
"08051",10922,69,154,1826,2011,666,4418,1778,10699,6196,5.31561194084138,0.87395699082901
"08053",744,0,27,120,213,36,223,125,717,348,2.8245102770991,0.297770999274519
"08055",5113,209,195,1335,1544,535,840,455,4709,1295,3.83206993821745,0.421484188299002
"08057",1079,45,105,253,314,68,181,113,929,294,3.71140071766585,0.447139032414139
"08059",422743,6064,14485,82874,83851,32951,127924,74594,402194,202518,2.81044410167889,0.210195388790499
"08061",931,11,16,252,329,134,126,63,904,189,3.614617725684,0.476984293856666
"08063",4787,220,297,1392,1413,594,543,328,4270,871,3.2844521121518,0.58461335575409
"08067",40021,394,969,8171,8643,3048,12123,6673,38658,18796,3.0056664938753,0.447325176432726
"08065",5367,434,195,1288,1045,474,1217,714,4738,1931,1.70703691938877,0.103603165214999
"08069",236137,3030,5650,41169,48081,21600,69774,46833,227457,116607,3.8755655816862,0.726361198710556
"08071",10655,551,708,2830,3140,1429,1252,745,9396,1997,5.52547785304947,1.2569527949131
"08073",4207,76,398,2083,619,328,544,159,3733,703,3.89938650289044,0.696392714139497
"08075",15185,325,977,5851,3076,1878,1861,1217,13883,3078,2.98464454955808,0.509331456335218
"08077",107982,2052,7074,29507,28250,9457,20923,10719,98856,31642,5.01896436185874,0.90011940454351
"08079",670,2,12,89,146,44,271,106,656,377,2.040319020326,0.232203891058999
"08081",8940,127,590,3748,1805,986,1172,512,8223,1684,5.03172104177828,1.30950467816041
"08083",18556,445,1248,5553,4207,1536,3341,2226,16863,5567,3.27511714510532,0.537401396963681
"08085",30333,1627,1775,9615,7182,2107,5324,2703,26931,8027,4.58867780751828,0.598979678315026
