"GEOID","population_25_years_and_over","population_25_years_and_overless_than_9th_grade","population_25_years_and_over9th_to_12th_grade_no_diploma","population_25_years_and_overhigh_school_graduate_includes_equivalency","population_25_years_and_oversome_college_no_degree","population_25_years_and_overassociates_degree","population_25_years_and_overbachelors_degree","population_25_years_and_overgraduate_or_professional_degree","population_25_years_and_overhigh_school_graduate_or_higher","population_25_years_and_overbachelors_degree_or_higher","SHAPE_Length","SHAPE_Area"
"51053",19877,756,1490,7719,4295,2124,2136,1357,17631,3493,1.71195212627141,0.133125730236499
"51595",3832,382,590,1320,733,334,278,195,2860,473,0.218403804929098,0.00181162353499924
"51057",7678,380,798,2875,2054,353,864,354,6500,1218,1.85655281008427,0.0709969635833883
"51059",781797,28414,23460,96148,93173,43935,246862,249805,729923,496667,2.14003788947722,0.108024877414898
"51600",16355,512,664,2210,1867,1064,4967,5071,15179,10038,0.229544503367231,0.00168973253600118
"51610",9760,149,113,639,947,231,2888,4793,9498,7681,0.126236360469936,0.00055020151650007
"51061",49983,1371,2208,12804,10930,3829,11764,7077,46404,18841,2.28934387444356,0.174885648500499
"51063",11622,481,658,4469,2024,1532,1507,951,10483,2458,1.8657823427311,0.100000757547998
"51065",19973,290,1011,4623,5038,1767,4575,2669,18672,7244,1.12711521217335,0.0771650358025018
"51067",39915,1658,2680,13639,8962,3970,5723,3283,35577,9006,2.36148060775346,0.186554392386002
"51620",5769,267,670,1709,1320,589,695,519,4832,1214,0.289199142888367,0.00218313852349947
"51069",62627,3008,4287,19835,13095,5115,9992,7295,55332,17287,2.31763265293195,0.112172223220468
"51630",16896,797,714,3546,3769,859,3868,3343,15385,7211,0.281795325802266,0.00280216915449948
"51640",4555,356,616,1197,1162,410,488,326,3583,814,0.313429941692519,0.0021625207945014
"51071",12199,449,782,4678,2947,1081,1444,818,10968,2262,1.63299061397309,0.0951822001831999
"51073",28221,880,2102,8119,7272,2712,4487,2649,25239,7136,1.6192625516954,0.0654390040649956
"51075",18322,436,662,3961,3437,1385,4643,3798,17224,8441,1.77003003792665,0.0769423238454978
"51077",11652,726,1294,4374,2114,1326,1322,496,9632,1818,2.07049832862897,0.116294198669646
"51079",14115,553,1087,4265,2969,1206,2459,1576,12475,4035,1.1615887918655,0.0417672199885006
"51081",8814,562,1448,3591,1760,490,616,347,6804,963,2.09188383240513,0.0774906875853807
"51083",24723,1790,2480,9024,4966,2419,2551,1493,20453,4044,2.50553453021516,0.216900407819356
